laua_code,laua_name,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
E07000114,Thanet,96,0,99,0,1,1,4,16.4,23.2,0.2,80,5.8,12.3,51.4,0,1.1,3.5,0.1,20,0.9,1.2,11,0,1217,4333,9132,19845,13383,0,162.1,98.9,137.7,219.4,0
E07000223,Adur,99,0,99,0,0,0,1,39.9,54.3,0.2,300,6.4,13.6,88.5,300,3,4.5,0.1,20,0.9,1.2,7.4,15,209,838,2647,6906,12563,10,129.7,88.1,118,141.4,519.2
E07000224,Arun,94,0,99,0,1,2,6,15.3,23.1,0,100,5.9,11.4,51,0,1.1,3.5,0,20,0.9,1.2,10.8,0,1237,5940,12429,19320,16452,0,129.2,84.9,109.1,170.1,0
E07000170,Ashfield,97,0,98,0,1,2,3,40,53.3,0.2,300,5.5,11.4,85.9,300,3,4.2,0,20,0.8,1.1,6.8,12.5,873,3305,5261,9374,24189,2,129.1,79.4,103.1,152,314
E08000026,Coventry,91,0,92,0,1,3,9,19.9,40.7,0.2,300,6,11.2,79.8,300,1.2,3.7,0,20,0.8,1,7.5,15,1630,8596,20253,29618,45210,4,163.9,115.5,144.2,190.4,196.5
E07000105,Ashford,83,0,94,1,4,9,16,17.4,35,0.1,300,5.1,9,73,300,1.1,4.2,0,20,0.7,1.1,9,13,2619,6315,9027,7958,17461,51,132.5,81.6,97.4,181.9,626.4
E07000163,Craven,82,2,95,3,5,9,16,16.9,30.8,0.1,1000,5.5,12.3,51.7,1000,1.1,3.1,0,20,0.7,1.1,10.3,0,961,2055,4120,8552,5310,188,90.3,49,71.9,142.2,0
E07000037,High Peak,83,0,93,1,4,6,17,16.1,21.6,0.1,80,5.3,12.1,50.8,0,1.1,2.9,0,20,0.8,1.1,10.7,0,1408,3671,5673,13587,7902,0,116.6,67.2,89.7,194.1,0
E07000004,Aylesbury Vale,80,5,89,1,4,9,16,19.3,42,0.1,1000,5.3,10.6,69.5,360,1.2,4,0,20,0.8,1.1,9.3,14,2675,8157,12349,17311,26767,1832,126.6,81.1,100.2,167.5,255.8
E07000226,Crawley,98,1,100,0,0,0,1,40,52.1,0.1,300,5.3,9.4,77.5,300,3,4.7,0.1,20,0.8,1.1,7.2,15,1075,3260,4967,5496,23346,169,159.7,109.4,124.9,182.6,185.3
