laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,% of premises able to receive SFBB from FWA,Number of premises with SFBB availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises able to receive SFBB from FWA
S12000033,Aberdeen City,110735,110727,88.2,4.8,1.4,0.1,0.2,1.1,7.0,1.3,96.7,0.0,0.0,97674,5302,1519,109,263,1269,7751,1401,107118,0,0
S12000034,Aberdeenshire,120382,120382,77.1,1.2,1.2,3.1,7.1,11.8,21.4,12.9,91.2,0.0,0.0,92806,1422,1422,3737,8497,14160,25764,15486,109805,0,0
E07000223,Adur,29094,29054,32.5,66.6,0.1,0.0,0.1,0.1,0.8,0.3,99.5,0.0,0.0,9447,19373,34,7,17,33,234,92,28939,0,0
E07000026,Allerdale,49365,49364,90.1,1.0,1.0,1.4,3.0,4.3,8.9,4.5,97.9,2.3,2.2,44484,478,478,697,1491,2137,4381,2200,48315,1147,1086
E07000032,Amber Valley,59201,59200,70.2,22.0,19.6,0.2,0.8,1.8,7.9,2.0,98.3,0.0,0.0,41545,12997,11614,110,483,1094,4658,1212,58219,0,0
S12000041,Angus,56859,56859,70.8,15.3,0.8,1.4,3.6,7.2,13.9,7.6,93.7,0.0,0.0,40231,8689,428,783,2067,4086,7875,4336,53295,0,0
N09000001,Antrim and Newtownabbey,58792,58791,39.9,51.8,11.2,1.7,3.0,3.9,8.2,4.0,99.3,0.0,0.0,23485,30467,6590,1013,1787,2321,4839,2326,58389,0,0
N09000011,Ards and North Down,69967,69966,31.4,63.3,57.6,0.5,1.1,2.2,5.3,2.2,99.8,0.0,0.0,21964,44259,40324,355,769,1523,3743,1529,69835,0,0
S12000035,Argyll and Bute,49375,49375,77.2,0.5,0.5,3.3,6.2,11.6,21.7,12.7,88.9,0.0,0.0,38104,254,240,1647,3040,5710,10690,6267,43886,0,0
N09000002,"Armagh City, Banbridge and Craigavon",82328,82326,83.1,4.6,6.1,1.6,3.3,5.1,12.3,5.1,98.8,0.0,0.0,68442,3776,5020,1302,2680,4166,10101,4237,81351,1,0
