laua,laua_name,SFBB availability (% premises),UFBB availability (% premises),FTTP availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
S12000033,Aberdeen City,90,0,0,0,1,2,9,17.5,26.4,0.1,1000,6,12.2,50.8,1000,1.2,5.5,0,1000,0.9,1.3,11.8,1000,1733,7006,15993,35257,32941,45,191.8,115.8,157.1,254.4,0
S12000034,Aberdeenshire,72,0,0,4,9,14,26,16.6,23.2,0.2,80,5.6,11.6,50.1,0,1.2,4.3,0,20,0.7,1.2,11.3,0,4543,10023,21211,34149,30087,0,161.3,91.2,126.4,241.6,0
E07000223,Adur,29,70,0,0,0,0,1,50,63.8,0.2,350,6.5,13.9,95.2,301.4,5,5.9,0,20,0.9,1.3,8.8,19.9,148,672,2232,6381,14536,72,178.7,107.4,154.8,192.8,450
E07000026,Allerdale,86,1,1,2,6,8,13,18.9,25.8,0.1,80,4.8,12,50.7,0,1.2,4.8,0.1,20,0.7,1.1,11.3,0,1986,3791,4831,13395,13219,0,161.8,74,122.9,231.6,0
E07000032,Amber Valley,87,1,0,1,2,3,12,18.7,25.9,0.2,300,5.6,12,49.9,300,1.2,4.9,0,20,0.8,1.3,11,19.2,1057,4319,7781,15380,16401,6,183.5,97.5,141.6,255.8,165.3
S12000041,Angus,68,13,0,2,4,9,18,18.2,29.6,0.1,300,5.7,12.5,64.7,300,1.2,4.3,0,20,0.7,1.2,10.5,20,1446,3633,8254,17441,14795,20,175,95.4,146.1,234.4,406.7
N09000001,Antrim and Newtownabbey,51,38,0,2,4,5,10,34.9,43.3,0.1,350,5,11.2,72.8,303.8,4,5.8,0.1,20,0.8,1.2,10.1,19.6,1843,4274,6121,11832,25825,40,196.1,118.2,160.7,228.8,302.5
N09000011,Ards and North Down,84,6,2,1,2,4,9,31,33.4,0.1,300,5.3,11.5,55,300,5.3,6.4,0,20,0.8,1.3,11.4,20,1694,5228,7690,14572,29530,7,186.6,103.4,142.8,229.5,641.4
S12000035,Argyll and Bute,69,0,0,4,7,16,29,11.5,20.2,0.2,80,6,10.6,51.9,0,1.1,3.5,0,20,0.6,1,11.3,0,1816,4205,12644,11212,9018,0,127.4,70.7,99.5,218.6,0
N09000002,"Armagh City, Banbridge and Craigavon",82,1,1,3,5,7,17,20.8,28,0.1,80,4.9,11.2,51,0,1.3,5.6,0.1,20,0.8,1.3,11.4,0,3658,6712,9472,19054,28392,0,192.3,108.8,152.4,246.7,0
