laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed
S12000033,ABERDEEN CITY,127083,126107,94.4,61.5,55.8,51.2,51.2,0.1,0.2,0.6,4.8,0.1,96.3,0.0,119995,78207,70870,65027,65027,65,210,719,6112,102,122381,0,49125,70870,65,145,509,5393,38.7,55.8,0.1,0.1,0.4,4.2
S12000034,ABERDEENSHIRE,126320,125293,83.2,11.7,11.6,11.6,11.6,2.6,5.7,9.2,16.0,4.0,94.5,0.0,105047,14784,14694,14592,14592,3241,7207,11602,20246,5089,119317,0,90353,14694,3241,3966,4395,8644,71.5,11.6,2.6,3.1,3.5,6.8
E07000223,ADUR,29865,29795,98.7,85.7,85.4,1.5,1.5,0.0,0.0,0.2,1.1,0.0,99.4,0.0,29475,25597,25517,445,445,3,14,46,320,6,29673,0,3958,25517,3,11,32,274,13.3,85.4,0.0,0.0,0.1,0.9
E07000026,ALLERDALE,51812,51555,92.6,3.2,3.2,3.2,3.2,1.2,2.1,3.1,6.9,1.1,98.4,0.0,47999,1658,1658,1658,1658,601,1103,1616,3556,548,51008,0,46341,1658,601,502,513,1940,89.4,3.2,1.2,1.0,1.0,3.7
E07000032,AMBER VALLEY,61441,61100,95.2,30.8,27.4,24.3,24.3,0.1,0.3,0.7,4.2,0.3,98.5,0.0,58496,18928,16806,14910,14910,61,195,453,2604,154,60512,1,41690,16806,61,134,258,2151,67.9,27.4,0.1,0.2,0.4,3.5
S12000041,ANGUS,61118,60453,87.0,19.9,19.7,7.6,7.6,1.4,3.7,6.8,11.9,2.5,95.0,0.0,53187,12147,12046,4642,4642,878,2265,4160,7266,1498,58060,0,41141,12046,878,1387,1895,3106,67.3,19.7,1.4,2.3,3.1,5.1
N09000001,ANTRIM AND NEWTOWNABBEY,60863,60133,92.3,80.5,80.2,69.9,80.4,1.5,2.7,3.4,6.5,1.6,98.6,0.0,56176,48996,48811,42552,48939,943,1658,2056,3957,985,59999,0,7365,48811,943,715,398,1901,12.1,80.2,1.5,1.2,0.7,3.1
N09000011,ARDS AND NORTH DOWN,72711,72479,95.1,79.4,79.0,77.8,79.4,0.6,1.1,1.9,4.5,0.8,99.5,0.0,69175,57761,57477,56565,57757,430,805,1411,3304,557,72327,0,11698,57477,430,375,606,1893,16.1,79.0,0.6,0.5,0.8,2.6
S12000035,ARGYLL AND BUTE,56474,54792,78.2,1.6,1.6,1.6,1.6,3.2,6.0,10.4,18.8,7.8,88.0,0.0,44177,906,906,905,906,1780,3389,5883,10615,4396,49708,0,43271,906,1780,1609,2494,4732,76.6,1.6,3.2,2.8,4.4,8.4
N09000002,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",86086,85591,89.0,66.5,65.9,66.5,66.5,1.5,3.0,4.6,10.4,2.1,98.3,0.2,76611,57276,56766,57275,57275,1251,2575,3955,8980,1776,84587,136,19845,56766,1251,1324,1380,5025,23.1,65.9,1.5,1.5,1.6,5.8
E07000224,ARUN,79256,78955,96.5,14.5,10.6,8.3,8.3,0.1,0.2,0.3,3.1,0.1,99.3,0.0,76507,11513,8430,6560,6560,70,125,269,2448,73,78736,0,68077,8430,70,55,144,2179,85.9,10.6,0.1,0.1,0.2,2.7
E07000170,ASHFIELD,59345,59148,98.0,87.1,86.6,3.9,3.9,0.0,0.4,0.5,1.6,0.2,98.8,0.0,58172,51714,51396,2309,2309,9,223,297,976,100,58648,0,6776,51396,9,214,74,679,11.4,86.6,0.0,0.4,0.1,1.1
E07000105,ASHFORD,59032,58664,90.8,49.5,46.5,9.4,9.4,0.3,1.7,3.3,8.6,0.8,97.9,34.8,53614,29225,27424,5547,5547,170,994,1927,5050,472,57781,20517,26190,27424,170,824,933,3123,44.4,46.5,0.3,1.4,1.6,5.3
E07000200,BABERGH,43426,43075,93.9,15.0,14.6,10.6,10.6,0.4,0.8,1.1,5.3,0.4,98.5,8.0,40780,6502,6360,4603,4603,159,343,496,2295,191,42766,3487,34420,6360,159,184,153,1799,79.3,14.6,0.4,0.4,0.4,4.1
E09000002,BARKING AND DAGENHAM,80542,80463,98.3,90.0,89.8,51.3,89.8,0.0,0.5,0.9,1.6,0.0,98.3,0.0,79179,72477,72347,41332,72353,25,384,722,1284,40,79198,0,6832,72347,25,359,338,562,8.5,89.8,0.0,0.4,0.4,0.7
E09000003,BARNET,159780,159118,97.2,61.1,56.7,22.5,54.6,0.0,0.0,0.1,2.4,0.0,98.0,0.0,155271,97617,90598,36029,87281,1,25,172,3847,3,156613,0,64673,90598,1,24,147,3675,40.5,56.7,0.0,0.0,0.1,2.3
