District,County,District Code,Latitude,Longitude,Postcodes,Active Postcodes,Households,Population,Type
"Aberdeen City","",S12000033,57.149502,-2.13305,14396,6273,103304,222604,Council Area
"Aberdeenshire","",S12000034,57.353298,-2.32247,21516,9777,104592,252583,Council Area
"Adur","West Sussex",E07000223,50.833099,-0.285009,3027,1793,26952,61167,Local Authority District
"Allerdale","Cumbria",E07000026,54.7131,-3.36135,5540,4086,42362,96468,Local Authority District
"Amber Valley","Derbyshire",E07000032,53.037701,-1.42446,4982,2831,52602,122335,Local Authority District
"Angus","",S12000041,56.6194,-2.74928,4581,3995,51537,115791,Council Area
"Antrim and Newtownabbey","",N09000001,54.698299,-6.05229,4195,3359,53535,137413,District
"Ards and North Down","",N09000011,54.6073,-5.66684,5476,4082,64022,155307,District
"Argyll and Bute","",S12000035,56.033199,-5.21312,4159,3416,40013,87912,Council Area
"Armagh City, Banbridge and Craigavon","",N09000002,54.385201,-6.42142,5964,5178,74395,196898,District
"Arun","West Sussex",E07000224,50.808701,-0.597137,6535,4995,66705,149515,Local Authority District
"Ashfield","Nottinghamshire",E07000170,53.087299,-1.24892,3195,2699,50945,119534,Local Authority District
"Ashford","Kent",E07000105,51.1353,0.837573,5808,3925,47773,117922,Local Authority District
"Babergh","Suffolk",E07000200,52.038898,0.880917,4490,3364,37493,87666,Local Authority District
"Barking and Dagenham","Greater London",E09000002,51.546398,0.124824,4575,2966,69687,185974,London Borough
"Barnet","Greater London",E09000003,51.605499,-0.207788,16181,8915,135834,356094,London Borough
"Barnsley","South Yorkshire",E08000016,53.546299,-1.46774,8592,6779,100705,231171,Metropolitan District
"Barrow-in-Furness","Cumbria",E07000027,54.126202,-3.21589,2527,2094,31231,69105,Local Authority District
"Basildon","Essex",E07000066,51.590099,0.465385,6057,4150,72736,174571,Local Authority District
"Basingstoke and Deane","Hampshire",E07000084,51.2869,-1.14625,8614,4963,69312,167791,Local Authority District
"Bassetlaw","Nottinghamshire",E07000171,53.331799,-1.02233,4635,3760,47666,112853,Local Authority District
"Bath and North East Somerset","Somerset",E06000022,51.364101,-2.43751,9772,5921,73507,175976,Unitary Authority
"Bedford","Bedfordshire",E06000055,52.144501,-0.472823,6762,4712,63805,157466,Unitary Authority
"Belfast","",N09000003,54.593498,-5.93321,10599,7287,140765,332026,District
"Bexley","Greater London",E09000004,51.459202,0.136331,6428,4411,92606,231975,London Borough
"Birmingham","West Midlands",E08000025,52.480801,-1.88504,34459,21579,410669,1072905,Metropolitan District
"Blaby","Leicestershire",E07000129,52.588699,-1.20092,4059,2320,38641,93793,Local Authority District
"Blackburn with Darwen","Lancashire",E06000008,53.729198,-2.47694,4979,3352,57352,147523,Unitary Authority
"Blackpool","Lancashire",E06000009,53.8176,-3.03833,5048,3522,64372,142081,Unitary Authority
"Blaenau Gwent","Gwent",W06000019,51.767601,-3.19178,4032,1840,30409,69792,Unitary Authority
"Bolsover","Derbyshire",E07000033,53.207298,-1.27521,2348,2019,32786,75836,Local Authority District
"Bolton","Greater Manchester",E08000001,53.5774,-2.44805,9855,7227,116384,276820,Metropolitan District
"Boston","Lincolnshire",E07000136,52.9702,-0.028513,2597,2063,27294,64646,Local Authority District
"Bournemouth, Christchurch and Poole","Dorset",E06000058,50.735802,-1.88506,14463,9467,167350,378809,Unitary Authority
"Bracknell Forest","Berkshire",E06000036,51.401402,-0.761039,6667,2998,45818,113065,Unitary Authority
"Bradford","West Yorkshire",E08000032,53.8214,-1.80243,20670,14713,199276,522430,Metropolitan District
"Braintree","Essex",E07000067,51.888302,0.591057,6896,4427,61052,147108,Local Authority District
"Breckland","Norfolk",E07000143,52.581001,0.86837,5245,4535,54522,130502,Local Authority District
"Brent","Greater London",E09000005,51.551701,-0.257337,10613,5855,110283,311224,London Borough
"Brentwood","Essex",E07000068,51.630798,0.317368,3175,2161,30632,73561,Local Authority District
"Bridgend","Mid Glamorgan",W06000013,51.531502,-3.6052,4231,3279,58507,139161,Unitary Authority
"Brighton and Hove","East Sussex",E06000043,50.832199,-0.148068,10353,5082,121561,273416,Unitary Authority
"Bristol, City of","Bristol",E06000023,51.460499,-2.58743,17507,11653,182770,428296,Unitary Authority
"Broadland","Norfolk",E07000144,52.674,1.3203,5474,4044,53314,124588,Local Authority District
"Bromley","Greater London",E09000006,51.3918,0.026206,11359,7256,130767,309225,London Borough
"Bromsgrove","Worcestershire",E07000234,52.355301,-2.02956,3452,2862,38279,93646,Local Authority District
"Broxbourne","Hertfordshire",E07000095,51.723999,-0.029526,3791,2433,37625,93520,Local Authority District
"Broxtowe","Nottinghamshire",E07000172,52.954899,-1.24992,3386,2548,46844,109516,Local Authority District
"Buckinghamshire","Buckinghamshire",E06000060,51.7076,-0.742187,24178,16084,200715,505277,Unitary Authority
"Burnley","Lancashire",E07000117,53.791901,-2.25088,3439,2360,37523,86985,Local Authority District
"Bury","Greater Manchester",E08000002,53.570099,-2.30334,8594,4988,78108,185045,Metropolitan District
"Caerphilly","Gwent",W06000018,51.645699,-3.20438,9096,4347,74473,178802,Unitary Authority
"Calderdale","West Yorkshire",E08000033,53.717499,-1.90145,9528,7266,88638,203864,Metropolitan District
"Cambridge","Cambridgeshire",E07000008,52.202301,0.137341,5884,2819,46682,123798,Local Authority District
"Camden","Greater London",E09000007,51.534401,-0.143305,16124,8207,97555,220387,London Borough
