Area,Year,Region,SFBB,UFBB,Income
BASILDON,2016,East,91.0,1.0,30560.0
BEDFORD,2016,East,87.0,1.0,29564.0
BRAINTREE,2016,East,68.0,0.0,31481.0
BRECKLAND,2016,East,77.0,0.0,24329.0
BROADLAND,2016,East,84.0,0.0,27525.0
BROXBOURNE,2016,East,97.0,0.0,32020.0
CAMBRIDGE,2016,East,95.0,1.0,31014.0
CENTRAL BEDFORDSHIRE,2016,East,88.0,0.0,32266.0
CHELMSFORD,2016,East,86.0,0.0,31822.0
COLCHESTER,2016,East,84.0,0.0,29032.0
DACORUM,2016,East,89.0,0.0,33747.0
EAST CAMBRIDGESHIRE,2016,East,88.0,1.0,28252.0
EAST HERTFORDSHIRE,2016,East,74.0,3.0,34805.0
EPPING FOREST,2016,East,82.0,9.0,35876.0
FENLAND,2016,East,88.0,0.0,26454.0
HARLOW,2016,East,97.0,0.0,26993.0
HERTSMERE,2016,East,96.0,0.0,30220.0
HUNTINGDONSHIRE,2016,East,89.0,3.0,29445.0
IPSWICH,2016,East,97.0,1.0,26824.0
KING'S LYNN AND WEST NORFOLK,2016,East,79.0,0.0,26405.0
LUTON,2016,East,98.0,0.0,26735.0
MID SUFFOLK,2016,East,65.0,1.0,26853.0
NORTH HERTFORDSHIRE,2016,East,84.0,0.0,35102.0
NORTH NORFOLK,2016,East,75.0,0.0,23266.0
PETERBOROUGH,2016,East,94.0,3.0,24760.0
SOUTH CAMBRIDGESHIRE,2016,East,84.0,7.0,35425.0
SOUTH NORFOLK,2016,East,75.0,0.0,29934.0
SOUTHEND-ON-SEA,2016,East,95.0,0.0,29592.0
TENDRING,2016,East,79.0,0.0,25818.0
THREE RIVERS,2016,East,93.0,0.0,32312.0
THURROCK,2016,East,92.0,0.0,29643.0
WATFORD,2016,East,95.0,0.0,34006.0
WELWYN HATFIELD,2016,East,91.0,0.0,31346.0
AMBER VALLEY,2016,East Midlands,87.0,0.0,27832.0
ASHFIELD,2016,East Midlands,97.0,0.0,24258.0
BLABY,2016,East Midlands,96.0,0.0,30372.0
BOLSOVER,2016,East Midlands,90.0,0.0,24659.0
BOSTON,2016,East Midlands,83.0,0.0,21837.0
BROXTOWE,2016,East Midlands,98.0,0.0,30678.0
CHARNWOOD,2016,East Midlands,96.0,0.0,28462.0
CHESTERFIELD,2016,East Midlands,92.0,0.0,25775.0
DERBY,2016,East Midlands,95.0,0.0,28376.0
DERBYSHIRE DALES,2016,East Midlands,68.0,0.0,31058.0
EAST LINDSEY,2016,East Midlands,79.0,0.0,25017.0
EREWASH,2016,East Midlands,97.0,0.0,26940.0
GEDLING,2016,East Midlands,98.0,0.0,27746.0
HARBOROUGH,2016,East Midlands,87.0,2.0,33032.0
HIGH PEAK,2016,East Midlands,83.0,0.0,25429.0
HINCKLEY AND BOSWORTH,2016,East Midlands,92.0,0.0,26085.0
LEICESTER,2016,East Midlands,93.0,0.0,21996.0
LINCOLN,2016,East Midlands,98.0,0.0,24465.0
MELTON,2016,East Midlands,84.0,0.0,25468.0
NEWARK AND SHERWOOD,2016,East Midlands,88.0,0.0,25125.0
NORTH WEST LEICESTERSHIRE,2016,East Midlands,92.0,0.0,25975.0
NOTTINGHAM,2016,East Midlands,94.0,2.0,23360.0
RUSHCLIFFE,2016,East Midlands,92.0,0.0,35113.0
RUTLAND,2016,East Midlands,79.0,6.0,27953.0
SOUTH DERBYSHIRE,2016,East Midlands,84.0,0.0,29290.0
SOUTH HOLLAND,2016,East Midlands,78.0,0.0,25292.0
WEST LINDSEY,2016,East Midlands,85.0,0.0,25486.0
BARKING AND DAGENHAM,2016,London,95.0,3.0,28012.0
BARNET,2016,London,92.0,2.0,33443.0
BEXLEY,2016,London,93.0,1.0,34109.0
BRENT,2016,London,91.0,2.0,29589.0
BROMLEY,2016,London,96.0,0.0,37657.0
CAMDEN,2016,London,94.0,1.0,39810.0
CROYDON,2016,London,91.0,4.0,32523.0
EALING,2016,London,94.0,2.0,31237.0
ENFIELD,2016,London,97.0,0.0,30843.0
GREENWICH,2016,London,89.0,6.0,32433.0
HACKNEY,2016,London,90.0,3.0,32211.0
HAMMERSMITH AND FULHAM,2016,London,84.0,5.0,38009.0
HARINGEY,2016,London,95.0,1.0,30754.0
HARROW,2016,London,96.0,1.0,33400.0
HAVERING,2016,London,96.0,1.0,33234.0
HILLINGDON,2016,London,95.0,0.0,33500.0
HOUNSLOW,2016,London,93.0,3.0,30901.0
ISLINGTON,2016,London,89.0,3.0,36635.0
KINGSTON UPON THAMES,2016,London,95.0,1.0,38034.0
LAMBETH,2016,London,87.0,3.0,33315.0
LEWISHAM,2016,London,84.0,9.0,33080.0
MERTON,2016,London,96.0,1.0,34011.0
NEWHAM,2016,London,86.0,11.0,27773.0
REDBRIDGE,2016,London,90.0,7.0,33742.0
RICHMOND UPON THAMES,2016,London,95.0,0.0,42068.0
SOUTHWARK,2016,London,76.0,6.0,33975.0
SUTTON,2016,London,97.0,0.0,32723.0
TOWER HAMLETS,2016,London,69.0,17.0,36089.0
WALTHAM FOREST,2016,London,79.0,18.0,30746.0
WANDSWORTH,2016,London,87.0,5.0,41325.0
WESTMINSTER,2016,London,70.0,5.0,41729.0
COUNTY DURHAM,2016,North East,91.0,0.0,25011.0
GATESHEAD,2016,North East,91.0,1.0,25049.0
HARTLEPOOL,2016,North East,95.0,0.0,25970.0
MIDDLESBROUGH,2016,North East,94.0,0.0,24966.0
NEWCASTLE UPON TYNE,2016,North East,93.0,2.0,26577.0
NORTH TYNESIDE,2016,North East,88.0,0.0,26092.0
NORTHUMBERLAND,2016,North East,86.0,1.0,26454.0
REDCAR AND CLEVELAND,2016,North East,93.0,0.0,24403.0
SOUTH TYNESIDE,2016,North East,91.0,0.0,23744.0
STOCKTON-ON-TEES,2016,North East,92.0,0.0,27752.0
SUNDERLAND,2016,North East,96.0,0.0,25171.0
ALLERDALE,2016,North West,83.0,0.0,29315.0
BARROW-IN-FURNESS,2016,North West,97.0,0.0,25885.0
BLACKBURN WITH DARWEN,2016,North West,94.0,0.0,22768.0
BLACKPOOL,2016,North West,98.0,0.0,21429.0
BOLTON,2016,North West,97.0,0.0,24815.0
BURNLEY,2016,North West,97.0,0.0,24142.0
BURY,2016,North West,96.0,0.0,28069.0
CARLISLE,2016,North West,88.0,0.0,23342.0
CHESHIRE EAST,2016,North West,88.0,1.0,28754.0
CHESHIRE WEST AND CHESTER,2016,North West,87.0,2.0,28819.0
CHORLEY,2016,North West,92.0,1.0,27486.0
COPELAND,2016,North West,83.0,0.0,38620.0
EDEN,2016,North West,71.0,0.0,24257.0
FYLDE,2016,North West,88.0,0.0,26983.0
HALTON,2016,North West,96.0,0.0,25250.0
HYNDBURN,2016,North West,96.0,0.0,23549.0
KNOWSLEY,2016,North West,96.0,0.0,25135.0
LIVERPOOL,2016,North West,93.0,2.0,25953.0
MANCHESTER,2016,North West,88.0,2.0,24185.0
OLDHAM,2016,North West,97.0,0.0,24051.0
PRESTON,2016,North West,93.0,1.0,24680.0
ROCHDALE,2016,North West,97.0,0.0,24421.0
ROSSENDALE,2016,North West,92.0,0.0,24041.0
SALFORD,2016,North West,90.0,3.0,25288.0
SEFTON,2016,North West,97.0,0.0,25517.0
SOUTH RIBBLE,2016,North West,95.0,0.0,26884.0
ST. HELENS,2016,North West,90.0,0.0,26008.0
STOCKPORT,2016,North West,98.0,0.0,28171.0
TAMESIDE,2016,North West,96.0,0.0,23419.0
