Region,Area,2016 SFBB availability (% premises),2016 UFBB availability (% premises),2017 SFBB availability (% premises),2017 UFBB availability (% premises),2018 SFBB availability (% premises),2018 UFBB availability (% premises),2019 SFBB availability (% premises),2019 UFBB availability (% premises),2020 SFBB availability (% premises),2020 UFBB availability (% premises),2021 SFBB availability (% premises),2021 UFBB availability (% premises),2016,2017,2018,2019,2020,2021
East,BASILDON,91.0,1.0,35.0,57.0,28.2,66.6,29.1,66.9,96.7,69.5,97.9,77.6,30560.0,29839.0,31084.0,32748.0,32597.0,32745.0
East,BEDFORD,87.0,1.0,57.0,34.0,23.8,71.7,26.6,69.5,96.5,70.2,97.0,72.3,29564.0,30250.0,29741.0,31624.0,34562.0,31036.0
East,BRAINTREE,68.0,0.0,76.0,0.0,82.3,0.8,85.1,2.5,89.2,4.9,93.2,12.9,31481.0,31793.0,32464.0,33681.0,33294.0,31945.0
East,BRECKLAND,77.0,0.0,80.0,0.0,82.4,1.3,83.4,3.8,88.7,4.5,90.7,17.6,24329.0,24050.0,26041.0,26208.0,26582.0,26960.0
East,BROADLAND,84.0,0.0,62.0,24.0,55.1,35.2,55.2,37.0,93.0,37.4,94.1,40.1,27525.0,27417.0,29091.0,30717.0,32001.0,30400.0
East,BROXBOURNE,97.0,0.0,18.0,80.0,13.8,84.6,14.6,83.9,98.7,84.1,98.7,82.9,32020.0,32285.0,33541.0,33300.0,37847.0,34615.0
East,CAMBRIDGE,95.0,1.0,62.0,36.0,14.5,84.2,12.9,85.2,98.2,85.3,98.2,87.8,31014.0,32247.0,32980.0,34275.0,34919.0,36913.0
East,CENTRAL BEDFORDSHIRE,88.0,0.0,90.0,2.0,33.9,60.8,35.6,60.3,96.3,62.3,97.0,66.8,32266.0,31507.0,32266.0,34868.0,36229.0,35000.0
East,CHELMSFORD,86.0,0.0,49.0,37.0,46.5,44.9,47.8,45.6,94.0,46.4,94.9,58.0,31822.0,31767.0,30812.0,32562.0,35023.0,37345.0
East,COLCHESTER,84.0,0.0,50.0,38.0,51.1,40.8,43.8,48.3,92.4,50.8,94.5,56.1,29032.0,30923.0,30906.0,31091.0,32523.0,31445.0
